Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Award Total,Date Awarded,Province / State,Country
Procurement Services Branch,Ministry of Citizens' Services,Identity and Access Management Resources for ADMS,ON-003381,RFP,2019-11-28,2,2019-12-09,N/A,,$0.00,2020-01-02,,
Procurement Services Branch,Ministry of Citizens' Services,Identity and Access Management Resources for ADMS,ON-003381,RFP,2019-11-28,2,2019-12-09,N/A,,$0.00,2020-01-02,,
Ministry of Finance,Ministry of Finance,MFIN- Sr. Solutions Architect - Mainframe Migration,10938,SRFP,2019-11-07,4,2019-11-11,TEK Systems Canada Corp.,Vancouver,"$550,000.00",2020-01-06,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Decked Wood Sale FLTC A97250 Wild Goose Lake 100 Mile House,FLTC A97250,ITT,2019-12-09,0,2019-12-20,Tony Jongbloets,Lone Butte,$2.26,2020-01-06,British Columbia,Canada
Ministry of Agriculture,Ministry of Agriculture,NOI - Direct Award an Increase of Contract Value,11039,NOI,2019-12-09,0,2019-12-18,PricewaterhouseCoopers LLP,Vancouver,"$313,500.00",2020-01-06,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Wildfire Fuel Management Monitoring and Project Supervision,CS20DQU008,ITT,2019-12-12,1,2020-01-02,Central Interior Mapping Co. Ltd.,Quesnel,"$32,615.00",2020-01-06,British Columbia,Canada
Procurement Services Branch,Ministry of Health,HPE Quality Center Maintenance & Support Renewal (Victoria),ITQ-006067,Itq,2019-12-16,0,2019-12-31,CDW Canada Inc,Etobicoke,"$62,272.00",2020-01-06,Ontario,Canada
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",2 Lane Concrete Slab Bridge (43.5km Finlay FSR),ITQ-006070,Itq,2019-12-17,0,2019-12-31,Pioneer Precast Products,Chilliwack,"$217,582.40",2020-01-07,British Columbia,Canada
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Single Lane Steel/Concrete Bridge (Finlay-Russel FSR),ITQ-006071,Itq,2019-12-17,0,2019-12-31,Pioneer Precast Products,Chilliwack,"$178,884.16",2020-01-07,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",LiDAR for identification of Northern Goshawk & Winter Habitat,1070-30/OT20FHQ289,SRFP,2019-12-17,2,2019-12-18,"Eric Todd Manning and Denise Lynn Manning, dba Strategic Resourc",Victoria,"$52,500.00",2020-01-07,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Predator Management and Caribou-Wolf Capture and Collaring,GS20WLN015 ILTEC,RFP,2019-11-15,0,2019-12-05,Canadian Wildlife Capture Ltd.,Powell River,"$646,000.00",2020-01-08,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Invitation to Tender Decked Wood Sale FLTC A97251 70 Mile House,FLTC A97251,ITT,2019-12-06,0,2019-12-20,N/A,,$0.00,2020-01-08,,
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Invitation to Tender Decked Wood Sale FLTC A97252 Young Lake BC,FLTC A97252,ITT,2019-12-06,0,2019-12-20,N/A,,$0.00,2020-01-08,,
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Peace District Crushing 2019/20,37643MJ0000,MOTITT,2019-12-10,1,2019-12-20,Brocor Construction Ltd.,Dawson Creek,"$316,000.00",2020-01-08,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Asphalt Surfacing - Lister Area Side Roads and Hwy 21 Patches,24964MJ0000,MOTITT,2019-11-26,0,2019-12-18,"Terus Construction Ltd., dba Selkirk Paving",Crescent Valley,"$3,665,482.52",2020-01-09,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Asphalt Surfacing - Lister Area Side Roads and Hwy 21 Patches,24964MJ0000,MOTITT,2019-11-26,0,2019-12-18,"Terus Construction Ltd., dba Selkirk Paving",Crescent Valley,"$3,665,482.52",2020-01-09,British Columbia,Canada
Procurement Services Branch,Ministry of Agriculture,Supply and Delivery of Upright Biomedical Freezer (Abbotsford),ITQ-006061,Itq,2019-12-18,2,2020-01-02,VWR International Co.,Mississauga,"$6,882.36",2020-01-09,Ontario,Canada
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",All Terrain Vehicle (Dawson Creek),ITQ-006073,Itq,2019-12-18,0,2020-01-06,Cycle North Enterprises Ltd,Prince George,"$9,240.00",2020-01-09,British Columbia,Canada
Procurement Services Branch,Ministry of Agriculture,Supply and Delivery of Pharmaceutical Refrigerator (Abbotsford),ITQ-006064,Itq,2019-12-19,0,2020-01-02,ESBE Scientific Industries Inc,Markham,"$11,106.38",2020-01-09,Ontario,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Falling and Burning Douglas-Fir Beetle Infested Trees,FH20DSN054,ITT,2019-12-20,0,2020-01-09,Seneca Enterprises Ltd,Prince George,"$11,454.00",2020-01-09,British Columbia,Canada
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Elevator Maintenance and Emergency Services,RFP-TMC-2019013,RFP,2019-11-18,0,2019-12-16,Richmond Elevator Maintenance Ltd,Richmond,"$20,000.00",2020-01-10,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","Bridge Design, Supply & Install K931A - Jamieson Creek FSR",EN20474-057,ITT,2019-12-13,0,2020-01-08,WEST BRIDGE CORPORATION,Kamloops,"$547,400.00",2020-01-10,British Columbia,Canada
Procurement Services Branch,Ministry of Agriculture,Supply & Delivery of Floor Centrifuge (Abbotsford),ITQ-006060,Itq,2019-12-23,4,2020-01-02,Fisher Scientific Ltd,Nepean,"$25,137.88",2020-01-10,Ontario,Canada
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Flail Mower Tractor Attachment (Saanichton),ITQ-006072,Itq,2019-12-31,1,2020-01-06,Prairiecoast Equipment Inc.,Nanaimo,"$8,736.00",2020-01-10,British Columbia,Canada
"Ministry of Advanced Education, Skills, and Training","Ministry of Advanced Education, Skills, and Training",24/7 Counselling and Referral Service for Post-Sec. Students,AEST-RFP-PSMHI-002,RFP,2019-05-07,3,2019-05-10,Morneau Shepell Limited,Halifax,"$4,500,000.00",2020-01-13,Nova Scotia,Canada
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Three Concrete Slab Structures (3 locations),ITQ-006066,Itq,2019-12-16,0,2019-12-31,Pioneer Precast Products,Chilliwack,"$366,681.28",2020-01-13,British Columbia,Canada
Procurement Services Branch,"Ministry of Energy, Mines, and Petroleum Resources",Exchangeable Payload Remotely Piloted Aircraft System (Victoria),ITQ-006076,Itq,2019-12-19,0,2020-01-08,Dronelogics Systems Inc.,Burnaby,"$19,540.64",2020-01-13,British Columbia,Canada
Ministry of Health,Ministry of Health,Review of Source Water Protection Mandates,RFPHL275,RFP,2019-11-20,2,2019-11-29,Econics Services Inc.,Victoria,"$197,716.00",2020-01-14,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Coast Waste Implementation Project - Kleeptee,1070-20/GMA20TPB008,ITT,2019-12-08,1,2019-12-31,Roc-Star Enterprises Ltd.,Port Alberni,"$12,000.00",2020-01-14,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Coast Waste Implementation Project - Quadra,1070-20/GMA20TPB009,ITT,2019-12-08,1,2019-12-31,Seamar Industries Ltd,Quathiaski Cove,"$24,000.00",2020-01-14,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Seal Coat 108 Lane Km of the Mackenzie Area,37731MJ0000,MOTITT,2019-12-12,0,2020-01-08,O.K. Industries Ltd.,Saanichton,"$2,137,183.00",2020-01-14,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Seal Coat 108 Lane Km of the Mackenzie Area,37731MJ0000,MOTITT,2019-12-12,0,2020-01-08,O.K. Industries Ltd.,Saanichton,"$2,137,183.00",2020-01-14,British Columbia,Canada
Procurement Services Branch,Ministry of Public Safety and Solicitor General,Talon X II/2 Ballistic Panels and Carriers (Nanaimo),ITQ-006058,Itq,2019-12-13,1,2019-12-23,Pacific Safety Products Inc,Arnprior,"$10,201.40",2020-01-14,Ontario,Canada
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Two (2) All Terrain Vehicles (Nanaimo),ITQ-006057,Itq,2019-12-18,2,2019-12-20,Cycle North Enterprises Ltd,Prince George,"$18,480.00",2020-01-14,British Columbia,Canada
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Two Concrete Slab Bridges and Approach Barriers (2 Locations),ITQ-006068,Itq,2019-12-20,1,2020-01-07,Rapid-Span Precast Ltd,Armstrong,"$326,816.00",2020-01-14,British Columbia,Canada
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",BOAT TRAILER (TERRACE),ITQ-006065,Itq,2019-12-20,1,2019-12-31,N R Motors Ltd,Prince George,"$11,796.96",2020-01-14,British Columbia,Canada
Procurement Services Branch,Ministry of Attorney General,CISCO Courtroom Teleconferencing Equipment (Vancouver),ITQ-006083,Itq,2019-12-24,0,2020-01-10,Insight Canada Inc.,Vancouver,"$21,367.42",2020-01-14,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",RFP_20191213_WMU_743_Moose Survey,20191213,RFP,2020-01-02,1,2020-01-06,Wildlife Infometrics Inc.,Mackenzie,"$64,592.00",2020-01-14,British Columbia,Canada
Ministry of Education,Ministry of Education,Early Learning Strategic Consultant,EDU20-316-SRFP,SRFP,2019-12-12,1,2019-12-23,Maureen Dockendorf,Kaldeen,"$249,600.00",2020-01-15,British Columbia,Canada
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Supply and Delivery of Sea Can Container (Vanderhoof),ITQ-006059,Itq,2019-12-13,0,2019-12-23,Secure-Rite Mobile Storage Inc.,Kelowna,"$8,792.00",2020-01-15,British Columbia,Canada
Procurement Services Branch,Ministry of Citizens' Services,Wooden Twin Bedframes (Burnaby),ITQ-006074,Itq,2019-12-19,0,2020-01-07,Mustafa Akkuzu,Abbotsford,"$136,080.00",2020-01-15,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",WEST QUESNEL PRIMARY FUEL BREAK WILDFIRE FUEL MANAGEMENT PROJECT,OP20DQU003,ITT,2019-12-20,0,2020-01-10,Spectrum Resource Group Inc.,Prince George,"$299,444.94",2020-01-15,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",M Culvert Install N1-248 Flathead Main 40m 4.6M Embedd Culvert,EN21474-001,ITT,2019-12-05,1,2020-01-16,M.JOHNSTON CONSTRUCTION LTD,Cranbrook,"$383,300.00",2020-01-16,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","Installation of approach barrier for N2-112, N2-113 and N2-116 (",EN20474-049,ITT,2019-12-11,1,2020-01-16,West Bridge Corporation,Kamloops,"$28,400.00",2020-01-16,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Site Preparation Grizzly Creek,SP20LMN006,ITT,2020-01-06,1,2020-01-13,N/A,,$0.00,2020-01-16,,
Procurement Services Branch,Ministry of Transportation and Infrastructure,2 Volt AGM Battery Cells (Surrey),ITQ-006084,Itq,2020-01-06,1,2020-01-09,Kold Katcher Inc,"Drumheller, Alberta","$138,657.96",2020-01-16,Alberta,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Fuel Management Survey Standard,SFRP122,SRFP,2019-11-18,1,2019-11-22,N/A,,$0.00,2020-01-20,,
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",2019 Fuel Management Prescription Development in Merritt TSA,FS20DCS105,ITT,2019-12-05,0,2020-01-03,Cabin Forestry Services Ltd.,Vernon,"$20,360.00",2020-01-20,British Columbia,Canada
Procurement Services Branch,Ministry of Attorney General,UPS and Network Card (Vancouver),ITQ-006052,Itq,2019-12-10,0,2019-12-18,RIC Electronics Ltd.,Burnaby,"$4,763.91",2020-01-20,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,HOT-IN-PLACE RECYCLING H5 REGIONAL BOUNDARY TO AVOLA 37.2 kms,37719MJ0000,MOTITT,2019-12-19,0,2020-01-15,Green Roads Recycling Ltd.,Fernie,"$2,172,899.00",2020-01-20,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,HOT-IN-PLACE RECYCLING H5 REGIONAL BOUNDARY TO AVOLA 37.2 kms,37719MJ0000,MOTITT,2019-12-19,0,2020-01-15,Green Roads Recycling Ltd.,Fernie,"$2,172,899.00",2020-01-20,British Columbia,Canada
Ministry of Health,Ministry of Health,Design Guidelines for Drinking Water Systems,RFPHL277,RFP,2019-11-13,1,2019-11-30,WSP Canada Group Limited,North Vancouver,"$247,411.00",2020-01-21,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Develop a Framework for First Nation Land Guardian Programs ,CS20DPG522,SRFP,2019-12-04,1,2020-01-02,N/A,,$0.00,2020-01-21,,
Procurement Services Branch,Ministry of Transportation and Infrastructure,Ignition SCADA Platform License (Victoria),ITQ-006025,Itq,2019-11-05,0,2019-11-14,Inductive Automation LLC,Folsom,"$60,542.00",2020-01-22,California,United States
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Western Screech-owl population inventory ,GS20NAN431,RFP,2019-12-11,0,2020-01-10,Bernard K. Schroeder Consulting,Nanaimo,"$27,500.00",2020-01-22,British Columbia,Canada
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,"Indigenous Relations Project Advisor, for PBR",PBR IDG 2020 10,RFP,2019-11-08,1,2019-11-13,Jemma Scoble & Associates Consulting Inc,Burnaby,"$814,950.00",2020-01-23,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Winter Road Maintenance 0-18.5km & 20.5-88.3km on the Finlay FSR,11250-85/EN20DMK015,ITT,2020-01-07,0,2020-01-22,N/A,,$0.00,2020-01-23,,
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Winter Road Maintenance 0-18.5km & 20.5-88.3km on the Finlay FSR,11250-85/EN20DMK015,ITT,2020-01-07,0,2020-01-22,N/A,,$0.00,2020-01-23,,
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.","FLEET UPFITTING (NORTH AREA, BRITISH COLUMBIA)",ITQ-006086,Itq,2020-01-08,1,2020-01-17,Interior Offroad Equipment Ltd,Prince George,"$52,200.19",2020-01-23,British Columbia,Canada
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.","SOUTH AREA FLEET UPFITTING (South Region, BC)",ITQ-006088,Itq,2020-01-08,0,2020-01-17,Interior Offroad Equipment Ltd,Prince George,"$77,623.91",2020-01-23,British Columbia,Canada
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.","FLEET UPFITTING (COAST AREA, BC)",ITQ-006089,Itq,2020-01-08,0,2020-01-17,Interior Offroad Equipment Ltd,Prince George,"$54,887.98",2020-01-23,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Provincial Management Planning Pilot on Two Conservation Lands ,GS20CBE149,RFP,2020-01-10,2,2020-01-14,Woodland Native Plant Nursery,Salt Spring Island,"$50,000.00",2020-01-23,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Asphalt Resurfacing Hwy 5 - McLure Ferry Rd to Louis CK Bridge,25083MJ0000,MOTITT,2020-01-14,1,2020-01-21,Dawson Construction Limited,Kamloops,"$3,258,986.42",2020-01-23,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Asphalt Surfacing 2020/21 Dawson Creek Area (84.3 Lane Km),37724MJ0000,MOTITT,2020-01-15,1,2020-01-21,Peter’s Bros. Construction Ltd.,Penticton,"$6,814,100.00",2020-01-23,British Columbia,Canada
Ministry of Finance,Ministry of Finance,Request for Proposal - Loss Control Services,10799,RFP,2019-10-04,4,2019-10-15,Opta Precise Services LLP,Burnaby,"$1,300,000.00",2020-01-24,British Columbia,Canada
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,"Safety Advisory Services, Pattullo Bridge Replacement Project",PBR OHS 2020 07,RFP,2019-11-12,2,2019-11-28,Rhéal Hubert Joseph Cormier,Campbell River,"$306,250.00",2020-01-24,British Columbia,Canada
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Emergency Transport Insert (Smithers, BC)",ITQ-006062,Itq,2019-12-13,0,2019-12-23,Nor-Mar Industries Ltd.,Penticton,"$21,105.80",2020-01-24,British Columbia,Canada
Ministry of Citizens' Services,Ministry of Citizens' Services,Prime Consulting Services- 1810 Blanshard St Victoria BC,ON-003441,RFP,2019-12-19,1,2020-01-10,Kasian Architecture Interior Design and Planning Ltd,Victoria,"$270,035.00",2020-01-24,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,"Construction of single span, pre-stressed concrete bridge",24727MJ0001,MOTITT,2019-12-23,0,2020-01-22,Surespan Construction Ltd.,North Vancouver,"$966,134.24",2020-01-24,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,"Construction of single span, pre-stressed concrete bridge",24727MJ0001,MOTITT,2019-12-23,0,2020-01-22,Surespan Construction Ltd.,North Vancouver,"$966,134.24",2020-01-24,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",PL21DFN001 – FORT NELSON – LBI-FFT- PLANTING,PL21DFN001,ITT,2019-08-12,0,2019-09-16,Summit Reforestation and Forest Management Ltd.,Smithers,"$687,988.22",2020-01-27,British Columbia,Canada
Ministry of Health,Ministry of Health,Communication and Emergency Response Resource Evaluation,RFPHL276,RFP,2019-11-14,1,2019-11-29,WSP Canada Group Ltd.,North Vancouver,"$243,695.00",2020-01-27,British Columbia,Canada
Ministry of Health,Ministry of Health,Traditional Foods Study,RFPHL281,RFP,2019-12-13,0,2020-01-15,Queenswood Consulting,Victoria,"$74,650.00",2020-01-27,British Columbia,Canada
Ministry of Finance,Ministry of Finance,Request for Proposal - Loss Control Services,10799,RFP,2019-10-04,4,2019-10-15,Opta Precise Services LP,Burnaby,"$1,950,000.00",2020-01-28,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Milburn Mountain Fuel Management,OP20DQU001,ITT,2019-12-20,0,2020-01-15,Nazko Economic Development Corp.,Victoria,"$56,900.00",2020-01-28,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",MARSH ROAD FUEL TREATMENT MITIGATION,OP20DQU002,ITT,2019-12-23,0,2020-01-16,Nazko Economic Development Corp.,Victoria,"$81,747.84",2020-01-28,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Supply & Install Signs in the Mackenzie Forest District,10005-40/EN20DMK012,ITT,2020-01-08,0,2020-01-22,N/A,,$0.00,2020-01-28,,
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",ATV (WILLIAMS LAKE),ITQ-006085,Itq,2020-01-08,1,2020-01-13,Spectra Power Sports Ltd,Williams Lake,"$9,204.16",2020-01-28,British Columbia,Canada
Procurement Services Branch,Ministry of Citizens' Services,Supply and Delivery of Network Equipment (Victoria),ITQ-006094,Itq,2020-01-13,0,2020-01-22,Telus Communications Inc.,Victoria,"$121,828.17",2020-01-28,British Columbia,Canada
Procurement Services Branch,Ministry of Citizens' Services,Cisco Network Equipment (Victoria),ITQ-006095,Itq,2020-01-15,0,2020-01-24,Charter Telecom Inc.,Victoria,"$294,381.74",2020-01-28,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Landsat8 Processing 2019,1070-30/OT20FHQ280,ITT,2019-11-29,0,2019-12-17,Pacific Geomatics Ltd.,Cowichan Bay,"$10,500.00",2020-01-29,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Operational Restoration Framework Document Amendments,11073,ITQ,2020-01-06,0,2020-01-23,N/A,,$0.00,2020-01-29,,
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Prescribed Fire Policy Gap Analysis,1070-30/CS20FHQ284SF,SRFP,2020-01-13,3,2020-01-15,B.A. Blackwell & Associates Ltd.,North Vancouver,"$45,000.00",2020-01-29,British Columbia,Canada
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,Supply & Delivery of Used One Trip Containers (Valemount & Yahk),ITQ-006098,Itq,2020-01-22,1,2020-01-24,Coast Storage and Containers Ltd.,New Westminster,"$11,200.00",2020-01-29,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Winter Road Maintenance from 0 km to 31.5 km on the Manson FSR,11250-85/EN20DMK013,ITT,2020-01-07,0,2020-01-22,Lepka Holdings Ltd.,Fort St James,"$26,334.00",2020-01-30,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Winter Road Maintenance 88.3 km to 173.4 km on the Finlay FSR,11250-85/EN20DMK014,ITT,2020-01-07,0,2020-01-22,Lepka Holdings Ltd.,Fort St James,"$54,115.00",2020-01-30,British Columbia,Canada
Procurement Services Branch,Ministry of Attorney General,Duty and Practice Ammunition (various locations),ITQ-006077R,Itq,2020-01-10,0,2020-01-17,Lloyd Libke Law Enforcement Sales Inc.,Toronto,"$38,456.25",2020-01-30,Ontario,Canada
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Aluminum Tree Tags (Victoria),ITQ-006063,Itq,2020-01-14,9,2020-01-16,PGSG Hercules Inc.,Denver,"$29,600.00",2020-01-30,Colorado,United States
Ministry of Citizens' Services,Ministry of Citizens' Services,Demolition Services- Sooke BC,ON-003438,ITT,2020-01-15,4,2020-01-21,Tri-X Excavating Ltd,Victoria,"$33,333.33",2020-01-30,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",OP20DMH041 Deka Lake Wildfire Interface Fuel Break Treatment,OP20DMH041,ITT,2020-01-21,0,2020-01-28,N/A,,$0.00,2020-01-30,,
Procurement Services Branch,Ministry of Public Safety and Solicitor General,Commercial Gym Equipment,ITQ-006106,Itq,2020-01-24,3,2020-01-28,Metagenics Fitness Inc.,West Vancouver,"$83,127.52",2020-01-30,British Columbia,Canada
Ministry of Citizens' Services,Ministry of Citizens' Services,Data Extraction Software for ITSM Product ServiceNow ,ON-003435,ITQ,2019-12-03,0,2019-12-12,GuideVision UK Ltd.,London,"$66,070.00",2020-01-31,,England
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Wood Products Sector Benchmarking Study,RFPGS20JHQ192,SRFP,2019-12-30,2,2020-01-08,"National Council for Air and Stream Improvement, Inc",Montreal,"$92,000.00",2020-01-31,Quebec,Canada
Procurement Services Branch,Ministry of Transportation and Infrastructure,Supply & Delivery of Concrete Barriers (Mill Bay),ITQ-006099,Itq,2020-01-16,2,2020-01-24,Surespan Structures Ltd.,Duncan,"$1,722,596.69",2020-01-31,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Mount Pope Fuel Abatement Project,FS20DSN052,ITT,2020-01-16,1,2020-01-21,Seneca Enterprises Ltd.,Prince George,"$156,780.00",2020-01-31,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",South Taylor 19.3 km Bridge Installation ,EN20NAN606,ITT,2020-01-20,0,2020-01-31,ROC-STAR Enterprises Ltd.,Port Alberni,"$148,400.66",2020-01-31,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,HIPR Hwy 93/95 Windermere to Radium Hwy 95 and Hwy 1 Golden Area,25096MJ0000,MOTITT,2020-01-21,2,2020-01-29,ARC Asphalt Recycling Inc.,Kamloops,"$2,813,225.00",2020-01-31,British Columbia,Canada
Ministry of Children and Family Development,Ministry of Children and Family Development,Supoervised Access for the South Okanagan,DMA191118,SRFP,2019-11-18,0,2019-12-16,ARC Programs Ltd.,Kelowna,"$120,000.00",2020-02-01,British Columbia,Canada
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Building Operator Services,RFP-TMC-2019012,RFP,2019-11-21,0,2019-12-16,Ultra-Tech Cleaning Systems Ltd.,Vancouver,"$86,000.00",2020-02-01,British Columbia,Canada
Ministry of Municipal Affairs and Housing,Ministry of Municipal Affairs and Housing,Seismic Retrofit Guideline Expansion Project,SRFP20-MAH-007,SRFP,2019-11-28,0,2020-01-02,Engineers and Geoscientists British Columbia,Burnaby,"$250,000.00",2020-02-01,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Regional Operations-Economic Impact & Cost-Benefit Analysis,ROEICBA001,SRFP,2019-12-10,2,2019-12-20,Winchelsea Forest Services Inc,Nanaimo,"$40,000.00",2020-02-01,British Columbia,Canada
Ministry of Municipal Affairs and Housing,Ministry of Municipal Affairs and Housing,Guidelines for Occupancy Archetypes and Step Code Compliance ,SRFP20MAH008,SRFP,2019-12-19,1,2020-01-10,Focal Engineering Inc,Victoria,"$29,000.00",2020-02-01,British Columbia,Canada
